pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
218.176,-96.266,180.0,top,A1,,Arduino_Nano,Arduino_Nano_v3.x,tht,True
81.6125,-81.235,0.0,top,D1,,LED_0805_2012Metric,LED,smt,True
111.4275,-81.235,0.0,top,D2,,LED_0805_2012Metric,LED,smt,True
99.3725,-81.235,0.0,top,D3,,LED_0805_2012Metric,LED,smt,True
130.21,-81.235,0.0,top,D4,,LED_0805_2012Metric,LED,smt,True
160.7035,-81.235,0.0,top,D5,,LED_0805_2012Metric,LED,smt,True
142.2515,-81.235,0.0,top,D6,,LED_0805_2012Metric,LED,smt,True
172.7985,-81.235,0.0,top,D7,,LED_0805_2012Metric,LED,smt,True
191.2735,-81.235,0.0,top,D8,,LED_0805_2012Metric,LED,smt,True
74.93,-59.182,0.0,top,H1,,MountingHole_3.2mm_M3,MountingHole,tht,False
225.044,-59.436,0.0,top,H2,,MountingHole_3.2mm_M3,MountingHole,tht,False
74.93,-99.822,0.0,top,H3,,MountingHole_3.2mm_M3,MountingHole,tht,False
225.044,-99.822,0.0,top,H4,,MountingHole_3.2mm_M3,MountingHole,tht,False
107.95,-99.822,0.0,top,H5,,MountingHole_3.2mm_M3,MountingHole,tht,False
169.91,-99.822,0.0,top,H6,,MountingHole_3.2mm_M3,MountingHole,tht,False
88.9,-69.85,90.0,top,J1,,Jack_XLR_Neutrik_NC3FAAH_Horizontal,NC3FAAH,tht,True
119.38,-69.85,90.0,top,J2,,Jack_XLR_Neutrik_NC3FAAH_Horizontal,NC3FAAH,tht,True
149.86,-69.85,90.0,top,J3,,Jack_XLR_Neutrik_NC3FAAH_Horizontal,NC3FAAH,tht,True
180.34,-69.85,90.0,top,J4,,Jack_XLR_Neutrik_NC3FAAH_Horizontal,NC3FAAH,tht,True
86.0225,-81.235,0.0,top,R1,,R_0805_2012Metric,68,smt,True
103.7825,-81.235,180.0,top,R2,,R_0805_2012Metric,68,smt,True
134.62,-81.235,180.0,top,R3,,R_0805_2012Metric,68,smt,True
115.6735,-81.235,0.0,top,R4,,R_0805_2012Metric,68,smt,True
146.812,-81.235,0.0,top,R5,,R_0805_2012Metric,68,smt,True
177.1415,-81.235,0.0,top,R6,,R_0805_2012Metric,68,smt,True
165.1135,-81.235,180.0,top,R7,,R_0805_2012Metric,68,smt,True
195.6835,-81.235,180.0,top,R8,,R_0805_2012Metric,68,smt,True
